name,base_price,display_uom,average_weight
Honeycrisp Apple,1.88,ea,0.6725
Organic Honeycrisp Apple,2.15,ea,0.54
Gala Apple,1.37,ea,0.5968
Granny Smith Apple,1.21,ea,0.53
Pink Lady (Cripps) Apple,1.24,ea,0.54
Stemilt Pink Lady Apples,5.99,ea,
Royal Gala Apple,1.28,ea,0.56
Honeycrisp Apple Bag,5.99,ea,
Fuji Apple,1.38,ea,0.6025
Red Delicious Apple,1.18,ea,0.5931
Bagged Organic Gala Apples,5.99,ea,
SugarBee Apples,3.99,lb,
SnapDragon Apples,5.99,ea,
Cosmic Crisp Apples,2.99,lb,
"Stemilt Apples, Organic, Fuji",6.99,ea,
Fuji Apple Bag,5.99,ea,
Envy Apple,1.61,ea,0.5383
Cal-Organic Farms Petite Carrots,3.89,ea,
Organic Bananas,0.36,ea,0.41
Red Cherries,8.99,lb,
Strawberries Package,4.99,ea,
Organic Granny Smith Apple Bag,6.99,ea,
Halos California Clementines,6.99,ea,
McIntosh Apple,1.03,ea,0.45
"Honeycrisp Apples, Bag",8.99,ea,
Bagged Lucy Rose Apples,7.99,ea,
Red Mango,2.99,ea,
Cotton Candy Grapes,6.99,lb,
Grimmway Farms Carrot Stixx,2.99,ea,
Sweetango Apple,7.99,ea,
"United Exports Blueberries, Fresh, Jumbo",8.99,ea,
Sumo Mandarin,3.58,ea,0.898
Banana,0.26,ea,0.384
Hass Avocado Bag,5.99,ea,
Apple,2.99,lb,
Hass Avocado,2.5,ea,
Navel Orange,1.71,ea,0.78
WildTwist Apple,5.99,ea,
Organic Mandarin Clementine,6.99,ea,
Lucy Glo Apples in Mesh Bag,7.99,ea,
Cara Cara Orange,1.63,ea,0.71
Red Seedless Grapes,8.99,ea,
Red Seedless Grapes,3.89,lb,
The Fresh Market Small Pineapple Chunks Cups,7.49,lb,
Clementine,0.4,ea,0.2
Pomegranate,2.99,ea,
Limes,0.75,ea,
Organic Green Seedless Grapes,5.99,lb,
Lemon,0.99,ea,
"Wonderful Naturally Seedless, Non-GMO",6.99,ea,
Organic Blackberries,5.99,ea,
Rome Beauty Apple,0.8,ea,0.4
Black River Pressed Apple Juice,6.99,ea,
Organic Navel Orange,2.09,ea,0.6996
Mandarin Clementine,9.99,ea,
"Fowler Farms Apple Cider, Pure Honeycrisp",5.99,ea,
Mini Seedless Watermelon,6.99,ea,
Bosc Pear,1.06,ea,0.535
Organic Strawberries,7.99,lb,
